label,label_meaning,coverage_tier,perf_tier,n_perturbations_covered,mip_start,branch_priorities,lp_basis,bound_tightening,var_hint,zono_bounds,n1_probe,relax_threshold,relax_mode,sibling_gate,n_tested,n_win,n_lose,gm_win,gm_lose,gm_all,gm_all_with_lp,max_speed_up,min_speed_up,delta_error_avg,delta_error_abs_avg,delta_error_max,delta_error_min,elim_org_avg,elim_pert_avg,relaxed_org_avg,relaxed_pert_avg,n_win_seeds,n_flip_seeds,n_lose_seeds,archs_covered,tested_perturbations,c_targets_covered
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,yes,off,0.5,btpr,no,53,42,11,0.619x,1.407x,0.721x,0.721x,0.308x,2.025x,0.090155,0.103376,0.464475,-0.050438,elim not activated,elim not activated,48.6,50.5,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,no,off,0.5,btpr,no,53,35,18,0.619x,1.360x,0.742x,0.742x,0.320x,1.970x,0.088253,0.101475,0.464475,-0.050438,elim not activated,elim not activated,48.6,50.5,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,no,off,0.1,btpr,no,30,23,7,0.632x,2.086x,0.781x,0.781x,0.350x,3.660x,-0.002044,0.020442,0.080868,-0.071768,elim not activated,elim not activated,0.6,0.8,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,yes,off,0.1,btpr,no,30,23,7,0.643x,2.064x,0.789x,0.789x,0.427x,3.384x,-0.010372,0.016795,0.026506,-0.071768,elim not activated,elim not activated,0.7,0.8,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct,yes,off,0.0,btpr,no,30,14,16,0.599x,1.308x,0.824x,0.824x,0.395x,2.044x,-0.003450,0.020211,0.075855,-0.117066,elim not activated,elim not activated,0,0,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,yes,off,0.05,btpr,no,30,17,13,0.612x,1.552x,0.850x,0.850x,0.433x,3.222x,-0.013230,0.016885,0.026506,-0.071768,elim not activated,elim not activated,0.7,0.8,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct,no,off,0.0,btpr,no,30,13,17,0.603x,1.323x,0.864x,0.864x,0.433x,2.027x,-0.004775,0.021185,0.102007,-0.117066,elim not activated,elim not activated,0,0,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,prev,no,off,0.0,btpr,no,11,8,3,0.737x,1.633x,0.868x,0.868x,0.409x,2.533x,0.045363,0.053236,0.125455,-0.027392,elim not activated,elim not activated,0,0,0,1,0,cnn1,"occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct,no,off,0.5,btpr,no,29,14,15,0.617x,1.221x,0.886x,0.886x,0.436x,2.689x,0.066588,0.074546,0.285361,-0.042841,elim not activated,elim not activated,48.1,49.9,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,no,no,off,0.05,btpr,no,29,23,6,0.723x,2.310x,0.912x,0.912x,0.443x,3.880x,-0.008021,0.018578,0.058780,-0.071768,elim not activated,elim not activated,0.6,0.8,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-avg-win-risky,"2 perturbation(s), 2 arch(s); gm_all < 0.952x, worst cell > 1.333x",medium,avg-win-risky,2,no,off,no,yes,direct,yes,off,0.5,btpr,no,30,16,14,0.616x,1.406x,0.933x,0.933x,0.284x,3.351x,0.070132,0.077825,0.285361,-0.042841,elim not activated,elim not activated,49.2,51,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
narrow-avg-win-risky,"1 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",narrow,avg-win-risky,1,no,off,no,yes,prev,yes,off,0.5,btpr,no,5,2,3,0.606x,1.464x,0.868x,0.868x,0.454x,1.729x,0.109547,0.109547,0.134260,0.060657,elim not activated,elim not activated,82,82,0,1,0,cnn1,"patch(eps_1,14,14,3)","4,5,6,7,8"
narrow-avg-win-risky,"1 perturbation(s), 1 arch(s); gm_all < 0.952x, worst cell > 1.333x",narrow,avg-win-risky,1,no,off,no,yes,prev,no,off,0.5,btpr,no,5,2,3,0.622x,1.628x,0.929x,0.929x,0.452x,1.961x,0.109547,0.109547,0.134260,0.060657,elim not activated,elim not activated,82,82,0,1,0,cnn1,"patch(eps_1,14,14,3)","4,5,6,7,8"
broad-neutral,"4 perturbation(s), 3 arch(s); gm_all in [0.952x, 1.111x]",broad,neutral,4,no,off,no,yes,prev_pgd,yes,off,0.25,btpr,yes,136,95,41,0.546x,4.498x,0.968x,0.968x,0.152x,40.648x,0.074678,0.092256,3.843684,-0.170538,elim not activated,elim not activated,30.1,30.2,0,1,0,"3x10,3x50,cnn1","linf(eps_0.1) | occ(eps_3,3,5) | occ(eps_5,5,5) | patch(eps_1,14,14,3)","0,1,2,3,4,5,6,7,8,9"
broad-neutral,"4 perturbation(s), 3 arch(s); gm_all in [0.952x, 1.111x]",broad,neutral,4,no,off,no,yes,prev_pgd,no,off,0.5,btpr,yes,134,95,39,0.608x,4.555x,1.005x,1.005x,0.242x,56.706x,0.071305,0.088894,0.586913,-0.170538,elim not activated,elim not activated,29.4,30.6,0,1,0,"3x10,3x50,cnn1","linf(eps_0.1) | occ(eps_3,3,5) | occ(eps_5,5,5) | patch(eps_1,14,14,3)","0,1,2,3,4,5,6,7,8,9"
broad-neutral,"4 perturbation(s), 3 arch(s); gm_all in [0.952x, 1.111x]",broad,neutral,4,no,off,no,yes,prev_pgd,no,off,0.25,btpr,yes,136,87,49,0.547x,3.168x,1.056x,1.056x,0.233x,31.912x,0.080947,0.097474,5.519342,-0.170538,elim not activated,elim not activated,32.6,32.8,0,1,0,"3x10,3x50,cnn1","linf(eps_0.1) | occ(eps_3,3,5) | occ(eps_5,5,5) | patch(eps_1,14,14,3)","0,1,2,3,4,5,6,7,8,9"
medium-neutral,"3 perturbation(s), 3 arch(s); gm_all in [0.952x, 1.111x]",medium,neutral,3,no,off,no,yes,prev_pgd,yes,off,0.5,btpr,no,85,48,37,0.399x,2.111x,1.083x,1.083x,0.056x,35.262x,0.124608,0.296707,5.483245,-9.086567,elim not activated,elim not activated,63.3,66.1,0,1,0,"3x10,3x50,cnn1","occ(eps_3,3,5) | occ(eps_5,5,5) | patch(eps_1,14,14,3)","0,1,2,3,4,5,6,7,8,9"
narrow-neutral,"1 perturbation(s), 1 arch(s); gm_all in [0.952x, 1.111x]",narrow,neutral,1,no,off,no,yes,prev,yes,off,0.0,btpr,no,6,4,2,0.836x,2.132x,1.048x,1.048x,0.658x,2.956x,0.022314,0.064190,0.082706,-0.098235,elim not activated,elim not activated,0,0,0,1,0,cnn1,"patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-loser,"2 perturbation(s), 2 arch(s); gm_all > 1.111x",medium,loser,2,no,off,no,yes,no,no,off,0.01,btpr,no,30,17,13,0.648x,1.962x,1.157x,1.157x,0.421x,9.602x,0.001101,0.018821,0.129863,-0.064329,elim not activated,elim not activated,0,0,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
medium-loser,"3 perturbation(s), 3 arch(s); gm_all > 1.111x",medium,loser,3,no,off,no,yes,prev_pgd,yes,off,0.0,btpr,no,85,51,34,0.528x,4.118x,1.174x,1.174x,0.075x,11.862x,0.019401,0.199738,5.310929,-9.135695,elim not activated,elim not activated,0,0,0,1,0,"3x10,3x50,cnn1","occ(eps_3,3,5) | occ(eps_5,5,5) | patch(eps_1,14,14,3)","0,1,2,3,4,5,6,7,8,9"
medium-loser,"2 perturbation(s), 2 arch(s); gm_all > 1.111x",medium,loser,2,no,off,no,yes,no,yes,off,0.01,btpr,no,30,19,11,0.740x,2.355x,1.223x,1.223x,0.303x,10.280x,0.013510,0.025577,0.129863,-0.064329,elim not activated,elim not activated,0,0,0,1,0,"3x10,cnn1","occ(eps_5,5,5) | patch(eps_1,14,14,3)","3,4,5,6,7,8"
